20260601 054400;30573;30576.5;30571.25;30573;306
20260601 054500;30573.5;30575;30572;30575;219
20260601 054600;30574.5;30576;30570.5;30572;408
20260601 054700;30572.5;30575;30571.25;30574.25;218
20260601 054800;30574.75;30580.25;30574.75;30579.5;533
20260601 054900;30579.5;30585;30577.5;30584.25;850
20260601 055000;30584.25;30590;30582.5;30587.5;904
20260601 055100;30587.75;30587.75;30582;30584;429
20260601 055200;30584.25;30591.5;30584.25;30590.5;539
20260601 055300;30590.5;30590.75;30583.25;30583.5;445
20260601 055400;30584;30586.25;30582.25;30586;250
20260601 055500;30586;30586.5;30583;30583.25;178
20260601 055600;30583.5;30584;30580.5;30582.75;238
20260601 055700;30583.75;30586.5;30581.75;30582.75;190
20260601 055800;30582.25;30583;30576;30580.25;582
20260601 055900;30580;30580.75;30576.75;30578.5;159
20260601 060000;30578.25;30580.75;30577.25;30579.5;153
20260601 060100;30579.5;30587.75;30579.5;30586.25;562
20260601 060200;30586;30587.25;30582;30587;326
20260601 060300;30586.5;30588.75;30583.5;30588.5;297
20260601 060400;30588.75;30589.75;30584.5;30584.75;309
20260601 060500;30585;30587;30580;30581.25;306
20260601 060600;30581.25;30582.25;30577;30582;412
20260601 060700;30581.75;30582.75;30581;30582.25;197
20260601 060800;30581.5;30585.75;30581.5;30583.25;268
20260601 060900;30584.25;30585.25;30581.25;30582.25;327
20260601 061000;30582.25;30584.25;30580.5;30583.75;228
20260601 061100;30584.25;30585.5;30580.75;30583.75;364
20260601 061200;30584.25;30585;30581.25;30583.5;178
20260601 061300;30583.25;30584.5;30578.75;30582;309
20260601 061400;30581.75;30582;30574.25;30576;473
20260601 061500;30576.25;30578.75;30570.25;30576.25;531
20260601 061600;30575.25;30577;30572.25;30573.75;294
20260601 061700;30574;30575;30572;30574;225
20260601 061800;30573.75;30574;30568;30572.25;446
20260601 061900;30572.75;30576.25;30569.75;30575.25;247
20260601 062000;30575.5;30578;30574.75;30577;184
20260601 062100;30576.5;30576.5;30573.25;30575.25;247
20260601 062200;30575.5;30577.5;30575;30576;130
20260601 062300;30575.75;30575.75;30570.75;30573.25;170
20260601 062400;30573.5;30574.25;30571.75;30573;88
20260601 062500;30572.25;30573.75;30569.75;30570;226
20260601 062600;30570.5;30570.75;30561.25;30563.5;769
20260601 062700;30563.5;30566.5;30561.5;30566.5;265
20260601 062800;30565.25;30567;30564.5;30565;214
20260601 062900;30565.5;30571;30565;30570.75;260
20260601 063000;30570.75;30571.75;30554.25;30558.5;1356
20260601 063100;30558.25;30568.25;30556;30566.25;635
20260601 063200;30566.75;30571.25;30565.25;30569.75;603
20260601 063300;30569.75;30578.75;30569.25;30577;714
20260601 063400;30577;30580;30575.75;30578;454
20260601 063500;30578;30579.5;30577;30578;180
20260601 063600;30578.75;30580.25;30575.25;30576.25;286
20260601 063700;30575.25;30575.25;30569.5;30571.25;466
20260601 063800;30572.25;30574.25;30568;30571.25;276
20260601 063900;30571.75;30573.5;30570;30571;95
20260601 064000;30570;30570;30562.5;30565.25;293
20260601 064100;30565;30567.25;30563.75;30564.5;265
20260601 064200;30564.5;30569.25;30560.75;30569.25;467
20260601 064300;30568.75;30571.25;30567.75;30568.25;313
20260601 064400;30568.75;30569;30564.25;30566.75;280
20260601 064500;30566.5;30570;30564.25;30569;188
20260601 064600;30568.25;30573.5;30567.5;30572;264
20260601 064700;30572.25;30578.25;30572;30577;675
20260601 064800;30577.25;30577.5;30572;30575.25;650
20260601 064900;30575.25;30585;30574.75;30582;636
20260601 065000;30581.75;30589.25;30580.5;30586.75;747
20260601 065100;30586.75;30588.25;30578.5;30580;779
20260601 065200;30579.5;30583.75;30578.5;30580.25;433
20260601 065300;30580.75;30583.25;30580.25;30581.25;143
20260601 065400;30580.5;30586;30580.5;30584.25;218
20260601 065500;30584.25;30584.5;30579.5;30580.5;224
20260601 065600;30580.75;30584.25;30576.25;30582;426
20260601 065700;30582.25;30586.25;30581;30581;324
20260601 065800;30581;30583.75;30578.25;30579;143
20260601 065900;30578.5;30582;30575.75;30576;271
20260601 070000;30576.5;30581.5;30576.25;30578.75;339
20260601 070100;30579.25;30582.75;30571.5;30580.25;1138
20260601 070200;30580.25;30580.5;30574;30578.75;486
20260601 070300;30579;30582.5;30576.75;30581.5;389
20260601 070400;30581.25;30589;30580.75;30587.5;629
20260601 070500;30587.25;30588.25;30583;30586;370
20260601 070600;30586.75;30592;30582.25;30582.75;888
