20260604 040100;30480.5;30483;30474.5;30476;569
20260604 040200;30475.75;30480;30471.5;30477.25;426
20260604 040300;30478.5;30484.25;30475.75;30477;575
20260604 040400;30475.75;30476.75;30467.25;30471.5;494
20260604 040500;30471.5;30477.75;30465.5;30475.25;556
20260604 040600;30475.5;30475.5;30471;30472.25;258
20260604 040700;30472.25;30475;30471;30474.75;209
20260604 040800;30475.25;30481.5;30473.25;30473.25;478
20260604 040900;30474.5;30476.75;30471.5;30473.75;262
20260604 041000;30474.5;30475.75;30470.25;30472;218
20260604 041100;30472;30479.5;30472;30479;300
20260604 041200;30478.75;30493;30478.75;30489.75;1208
20260604 041300;30488.75;30490.75;30484.5;30490.5;458
20260604 041400;30490.25;30491.75;30487.25;30490.5;323
20260604 041500;30490;30497.25;30486.5;30497;659
20260604 041600;30497.25;30500;30495.25;30498.5;696
20260604 041700;30498.25;30498.25;30492.5;30492.5;380
20260604 041800;30492.75;30493;30486;30487.75;503
20260604 041900;30488.25;30492;30485;30490;404
20260604 042000;30490.5;30499.5;30490.5;30493.25;530
20260604 042100;30492.75;30498.25;30488.75;30492.25;430
20260604 042200;30492.75;30495.75;30491.5;30495.25;304
20260604 042300;30495.25;30498.25;30491.5;30495.5;193
20260604 042400;30495.75;30502.25;30493.25;30501.25;479
20260604 042500;30501.75;30502.5;30498;30498.5;412
20260604 042600;30498.5;30499.25;30493;30494.75;519
20260604 042700;30494;30497.75;30491.5;30496;312
20260604 042800;30496.75;30500.25;30494.25;30495;312
20260604 042900;30495.25;30495.5;30486.75;30487.5;447
20260604 043000;30488;30492;30487.25;30489.5;253
20260604 043100;30488.75;30494.5;30487.25;30490.75;633
20260604 043200;30491;30495.75;30489.5;30492.25;244
20260604 043300;30491.5;30492;30483;30484.5;580
20260604 043400;30484.25;30492.75;30484;30492;314
20260604 043500;30492;30507.75;30492;30499.75;1191
20260604 043600;30499.5;30506.75;30499.25;30506.5;515
20260604 043700;30505.75;30505.75;30495;30497.5;620
20260604 043800;30497.75;30500.75;30495;30499.25;424
20260604 043900;30498.25;30502;30494.5;30494.5;341
20260604 044000;30494.5;30501.75;30492;30498.5;472
20260604 044100;30497.75;30505.25;30496.25;30503;553
20260604 044200;30503.75;30503.75;30492.5;30496.25;395
20260604 044300;30496;30501.5;30494.5;30498;327
20260604 044400;30498.25;30502.75;30494;30502.75;290
20260604 044500;30502.5;30505;30496.25;30504.5;377
20260604 044600;30504.25;30508.5;30494.5;30496.25;623
20260604 044700;30496;30498.75;30490.5;30497.25;544
20260604 044800;30497;30497.25;30491;30495.75;311
20260604 044900;30496.25;30496.25;30491.25;30492.75;248
20260604 045000;30492;30496;30491.75;30496;164
20260604 045100;30495.5;30496.25;30491.75;30493.5;202
20260604 045200;30494.25;30497.5;30491.75;30492.75;246
20260604 045300;30492.5;30493.5;30490.75;30491.25;221
20260604 045400;30491.75;30494;30489.5;30493;291
20260604 045500;30492.75;30502;30492.75;30498.75;573
20260604 045600;30498.75;30499.25;30493.75;30497;310
20260604 045700;30497;30498.5;30494;30496.25;237
20260604 045800;30497;30502;30496.25;30498.25;229
20260604 045900;30498.75;30498.75;30492.5;30493.75;209
20260604 050000;30493.5;30499.5;30493.5;30497.75;147
20260604 050100;30498;30500.5;30487.25;30488.25;643
20260604 050200;30489.25;30493;30485;30486.75;747
20260604 050300;30487;30489.25;30478.5;30480.25;865
20260604 050400;30481;30484;30478;30480.5;662
20260604 050500;30480.5;30485.5;30478.75;30482.75;437
20260604 050600;30483.25;30491.25;30482.75;30485.5;610
20260604 050700;30485.5;30493.25;30484.25;30486.25;549
20260604 050800;30486.5;30488.75;30481.25;30482.5;515
20260604 050900;30481.75;30481.75;30472.75;30476;764
20260604 051000;30475.75;30476;30461.5;30461.75;1201
20260604 051100;30462.75;30466.5;30454.5;30457;912
20260604 051200;30456.25;30458.5;30450.75;30456.25;902
20260604 051300;30455.75;30458;30451;30453.75;407
20260604 051400;30454.25;30463.75;30450;30463.25;902
20260604 051500;30462.75;30475;30461.5;30474.25;933
20260604 051600;30474.5;30478;30464.25;30464.25;670
20260604 051700;30465;30469.5;30460.75;30469.5;625
20260604 051800;30469.25;30482.25;30468.5;30478.75;729
20260604 051900;30479.25;30483.75;30476.5;30476.5;493
20260604 052000;30477.5;30479.75;30471.75;30473.5;455
20260604 052100;30473.75;30473.75;30461;30465.5;657
20260604 052200;30464.5;30465;30457.25;30463.25;408
20260604 052300;30463.5;30464;30455;30455;299
20260604 052400;30455.5;30464.25;30455.5;30457.5;317
20260604 052500;30458;30466.25;30456.5;30458.5;587
20260604 052600;30458.25;30459.5;30451.75;30458.5;497
20260604 052700;30457.5;30464.25;30452.5;30462.5;374
20260604 052800;30462.5;30466.5;30460;30464.75;335
20260604 052900;30464.75;30466.5;30461;30461;285
20260604 053000;30463.25;30466;30460.5;30461.5;183
20260604 053100;30462.75;30468.25;30459.25;30463.75;466
20260604 053200;30464.5;30466.5;30460;30462.25;436
20260604 053300;30461.5;30467;30454;30457.75;515
20260604 053400;30458.25;30472.75;30457;30468;638
20260604 053500;30468;30483.25;30467;30477.75;822
20260604 053600;30478;30481;30473;30479.5;294
20260604 053700;30479.5;30480.5;30463.5;30470.25;769
20260604 053800;30470;30481;30469.5;30475.75;447
20260604 053900;30476.5;30486.75;30475.75;30482.75;623
20260604 054000;30481.75;30484.25;30469.75;30476;530
20260604 054100;30476.5;30479;30472.75;30479;370
20260604 054200;30478.75;30491;30478.75;30490;745
20260604 054300;30491.25;30492;30484.75;30485.75;380
20260604 054400;30484.75;30491.5;30484;30490.75;387
20260604 054500;30490.75;30493.25;30488.25;30492.25;424
20260604 054600;30491.75;30492.75;30484.5;30486.5;334
20260604 054700;30486.5;30491.75;30475;30479.25;910
20260604 054800;30479.5;30483.75;30478.25;30480.75;326
20260604 054900;30480.5;30480.75;30473.5;30473.5;258
20260604 055000;30473.5;30481.25;30470.5;30472;602
20260604 055100;30471.75;30478.75;30470.75;30475.25;422
20260604 055200;30474.25;30477.25;30466.75;30468.75;606
20260604 055300;30469;30477.75;30468.25;30472.75;416
20260604 055400;30471.5;30476.5;30469.75;30470;200
20260604 055500;30470;30471.75;30462.5;30467.75;528
20260604 055600;30467;30468;30458.25;30458.75;487
20260604 055700;30458.75;30464.75;30457.75;30464;334
20260604 055800;30464.25;30470.75;30462.75;30470;456
20260604 055900;30470.75;30477.25;30470;30476.25;508
20260604 060000;30476;30487.5;30474.25;30483.75;704
20260604 060100;30484.5;30485.75;30477.25;30484;643
20260604 060200;30483.5;30488.5;30481.5;30486.75;478
20260604 060300;30487.5;30491.5;30485.75;30490;539
20260604 060400;30490.25;30498.25;30489.5;30496.25;774
20260604 060500;30497;30497;30489.5;30489.75;307
20260604 060600;30489.75;30491.75;30482.25;30488;543
20260604 060700;30488;30492.25;30485;30490;415
20260604 060800;30490;30494.75;30488;30493.5;325
20260604 060900;30493.25;30497.5;30492.5;30494.5;294
20260604 061000;30496;30496.5;30491.5;30493;208
20260604 061100;30492.25;30499.75;30489.75;30498.75;433
20260604 061200;30499.75;30501;30491.75;30493.5;470
20260604 061300;30492.75;30496.25;30491;30493.5;160
20260604 061400;30494;30496.75;30483.75;30485.75;414
20260604 061500;30485.5;30489.5;30480.75;30484.5;558
20260604 061600;30485.25;30489.25;30482.75;30485.75;298
20260604 061700;30485.25;30485.25;30478.5;30480.75;449
20260604 061800;30480.5;30487.75;30478.25;30487;390
20260604 061900;30486.5;30487.5;30475.5;30479.25;706
20260604 062000;30480;30481.5;30475.25;30476.5;381
20260604 062100;30477.5;30482.75;30473.75;30481.25;440
20260604 062200;30478.5;30478.75;30472;30475.5;385
20260604 062300;30475.25;30480.25;30470.5;30471.5;512
20260604 062400;30471.5;30473.25;30467.5;30470.5;462
20260604 062500;30471.25;30472.5;30465;30466.75;820
20260604 062600;30467.25;30485.25;30465.75;30478.5;885
20260604 062700;30478.5;30481.25;30471.75;30477.5;686
20260604 062800;30478.75;30487.75;30478.75;30481.5;690
20260604 062900;30481.5;30485.75;30481.5;30484.25;296
20260604 063000;30483.5;30490.25;30481.5;30489;423
20260604 063100;30488.75;30489.25;30477;30478.75;742
20260604 063200;30479.25;30483.75;30471;30474.25;684
20260604 063300;30474;30479.25;30469.75;30472;465
20260604 063400;30472.25;30494.5;30471.75;30492;1295
20260604 063500;30491.5;30492.25;30480.25;30485;578
20260604 063600;30485.75;30498.5;30484.25;30495.75;910
20260604 063700;30496.75;30503.5;30495.25;30498.25;631
20260604 063800;30498.5;30499.75;30491.75;30493;669
20260604 063900;30492.5;30495.5;30490.5;30493.75;334
20260604 064000;30493.25;30503.5;30489.75;30501.75;738
20260604 064100;30501.75;30514.75;30501;30513;1224
20260604 064200;30513;30514.75;30507.5;30511.75;447
20260604 064300;30512;30515.75;30509;30509;557
20260604 064400;30509;30512;30507.5;30510;279
20260604 064500;30509.75;30520;30509.5;30519.25;752
20260604 064600;30518.5;30519;30507.75;30509;835
20260604 064700;30509;30510.5;30505.25;30507.25;551
20260604 064800;30507.75;30508.25;30502.75;30505;357
20260604 064900;30505.5;30508.5;30502.5;30508.25;226
20260604 065000;30508.25;30511;30507;30510;203
20260604 065100;30510.25;30524;30509.5;30517.75;1470
20260604 065200;30517.5;30519;30515.25;30516;218
20260604 065300;30517;30522;30515.25;30521.25;389
20260604 065400;30521.75;30526.75;30519.75;30526.5;749
20260604 065500;30526;30534.25;30523.5;30528.25;1176
20260604 065600;30527.5;30529.5;30524.25;30528.75;549
20260604 065700;30528;30529.25;30524;30525;316
20260604 065800;30525.5;30533.75;30524.75;30526.75;457
20260604 065900;30526.75;30530.25;30524;30528.75;300
20260604 070000;30529.5;30530.25;30525.75;30530;371
20260604 070100;30530;30531.5;30519;30521.75;1345
20260604 070200;30522.5;30522.5;30512.75;30517.75;807
20260604 070300;30518;30528.25;30518;30527.25;724
20260604 070400;30527;30528;30520.25;30526;443
20260604 070500;30525.5;30544;30525.5;30540.25;1396
20260604 070600;30540.5;30546;30535.25;30540.25;1216
20260604 070700;30539;30539.25;30527.75;30529.75;791
20260604 070800;30529.75;30530.5;30523.5;30526.75;651
20260604 070900;30527;30532.25;30524;30527.75;546
20260604 071000;30528.25;30530.75;30522.75;30526;445
20260604 071100;30525.75;30538;30525;30535.75;651
20260604 071200;30535.75;30539.25;30533.5;30536.75;484
20260604 071300;30536.75;30543;30535.5;30537;559
20260604 071400;30536.5;30540.5;30535;30537.5;436
20260604 071500;30537.5;30539.25;30531.75;30532.75;260
20260604 071600;30532.25;30535;30521;30523.25;699
20260604 071700;30524;30529;30522.25;30525;439
20260604 071800;30524.5;30524.5;30510.25;30512.75;998
