20260401 054500;24048.75;24054;24047;24053.75;194
20260401 054600;24053.75;24060;24052.75;24053.5;544
20260401 054700;24053.25;24054.5;24045.25;24047.75;542
20260401 054800;24048.25;24049.5;24043.75;24047.75;353
20260401 054900;24048.75;24051.25;24041.5;24044.25;388
20260401 055000;24044.25;24056.5;24044.25;24055.5;475
20260401 055100;24055.5;24060.25;24054.75;24057.5;267
20260401 055200;24057.75;24062.5;24054;24061.5;474
20260401 055300;24060.75;24060.75;24054;24059.25;342
20260401 055400;24059.5;24061.5;24054.5;24056;269
20260401 055500;24055.75;24056.25;24049.5;24050.25;505
20260401 055600;24051;24053;24045.5;24050.75;336
20260401 055700;24051;24052;24042.25;24044.5;244
20260401 055800;24044;24044.5;24038.5;24040;489
20260401 055900;24040;24044.75;24038;24039;376
20260401 060000;24039.25;24045;24038.5;24040.5;394
20260401 060100;24041.5;24048.75;24039;24047.5;641
20260401 060200;24046.75;24061.75;24044;24060;771
20260401 060300;24060.25;24060.25;24052.75;24057.5;446
20260401 060400;24057.5;24058;24049;24053.75;340
20260401 060500;24053;24053.75;24041;24041;727
20260401 060600;24041.75;24050.75;24039;24050.25;557
20260401 060700;24050.75;24057.5;24047.75;24056.75;422
20260401 060800;24056.75;24068.25;24055.25;24059.5;1189
20260401 060900;24059.25;24065.75;24058.75;24063.25;318
20260401 061000;24062.75;24066;24053.25;24055;426
20260401 061100;24055;24059.75;24053.25;24058.75;315
20260401 061200;24059.25;24064.25;24058.75;24061.25;223
20260401 061300;24061.5;24083.75;24061.25;24079;1253
20260401 061400;24078.75;24080.75;24070.25;24074.5;1057
20260401 061500;24073.5;24081.5;24072;24080;534
20260401 061600;24079.5;24095;24075.75;24090.75;1527
20260401 061700;24091.25;24105;24087;24098.5;1536
20260401 061800;24098.75;24106.25;24096.5;24103.75;1025
20260401 061900;24103;24109;24089.5;24090;1143
20260401 062000;24089.75;24096.25;24085.25;24095.25;1057
20260401 062100;24095.5;24103.5;24091.25;24102;787
20260401 062200;24102.25;24113.25;24099;24108.25;1188
20260401 062300;24108;24109;24098.25;24100.5;764
20260401 062400;24101.75;24107.5;24098.25;24104.5;546
20260401 062500;24104.5;24109.5;24101.75;24108;611
20260401 062600;24108.25;24110.25;24101.75;24105;619
20260401 062700;24104.5;24112.5;24104.25;24112;541
20260401 062800;24111.5;24112;24104.25;24106.25;570
20260401 062900;24105.75;24117;24105.75;24114;988
20260401 063000;24113.75;24127;24113.5;24119.25;1600
20260401 063100;24118.5;24131.5;24112.5;24131;1440
20260401 063200;24130.75;24150;24130.75;24141;2602
20260401 063300;24140.5;24145;24136.5;24142.25;1316
20260401 063400;24142;24152;24141.75;24149.25;1353
20260401 063500;24148.75;24160.75;24148.75;24154;1348
20260401 063600;24154;24154.75;24146.5;24151.75;895
20260401 063700;24151.25;24165;24147.75;24162.25;1280
20260401 063800;24162.5;24166;24158.5;24164.25;856
20260401 063900;24164.75;24167.5;24154.5;24156.5;1160
20260401 064000;24156.25;24156.75;24149.25;24153.75;1070
20260401 064100;24153.25;24159.75;24144.25;24145.75;920
20260401 064200;24145.25;24160;24144.25;24158.5;794
20260401 064300;24158.75;24169.5;24157.25;24160.5;1321
20260401 064400;24161;24161.25;24154;24157.75;777
20260401 064500;24157.75;24169.5;24156.75;24167.75;988
20260401 064600;24167.75;24169.25;24158.5;24164;843
20260401 064700;24163;24163.25;24154.25;24159.75;902
20260401 064800;24159.5;24169.25;24157.75;24168.25;940
20260401 064900;24167.25;24177.25;24166.25;24175;1224
20260401 065000;24174.5;24175.75;24161;24161.25;1270
20260401 065100;24161.25;24166.25;24153.25;24164.25;1394
20260401 065200;24164;24165;24153.75;24158.5;800
20260401 065300;24157.25;24165;24155.75;24162.25;437
20260401 065400;24162.75;24167.75;24161;24167.5;531
20260401 065500;24167.75;24173.5;24164.5;24169;531
20260401 065600;24169.25;24174;24167;24172.75;594
20260401 065700;24172.5;24173.5;24166.5;24169.25;455
20260401 065800;24169;24170.5;24163.5;24167.5;465
20260401 065900;24167;24172.75;24167;24167.5;506
20260401 070000;24168.75;24170.25;24166.75;24169;301
20260401 070100;24169.5;24175.75;24162;24172.5;1203
20260401 070200;24172;24181.5;24165.75;24166.5;1334
20260401 070300;24166.75;24168.5;24160;24160.75;845
20260401 070400;24160.75;24163;24152.25;24157.75;941
20260401 070500;24158.75;24159.75;24152.75;24155.5;679
20260401 070600;24155.5;24158;24148;24152.25;895
20260401 070700;24152.5;24155.25;24146.25;24151.75;744
20260401 070800;24151.75;24159.75;24147;24154;891
20260401 070900;24154.75;24166;24152;24155.25;932
20260401 071000;24155;24162.25;24151;24162.25;624
20260401 071100;24161.5;24163.75;24147.5;24150.5;710
20260401 071200;24150.5;24153.5;24141.25;24145.25;897
20260401 071300;24146;24152.5;24144.5;24145.75;549
20260401 071400;24146;24149.75;24142.5;24144.5;416
20260401 071500;24144.75;24150;24142.75;24150;334
20260401 071600;24149.75;24149.75;24141.5;24145.5;582
20260401 071700;24146.5;24151.75;24143;24146.5;470
20260401 071800;24146.25;24150.5;24141.25;24150.5;486
20260401 071900;24150.75;24150.75;24143;24147;457
20260401 072000;24145.5;24147.5;24143;24143;361
20260401 072100;24143;24145.25;24139.25;24141.75;636
20260401 072200;24142;24144.25;24136.5;24136.75;522
20260401 072300;24136.5;24140.5;24131;24137.5;859
20260401 072400;24137.25;24139.75;24133.25;24134.25;445
20260401 072500;24134.5;24139.75;24134.25;24137.5;373
20260401 072600;24137.5;24143.25;24134.25;24139.25;437
20260401 072700;24139;24144.25;24138.25;24139;383
20260401 072800;24138.5;24149.5;24137.75;24147.25;412
20260401 072900;24147.5;24147.5;24142.25;24146.25;531
20260401 073000;24145.5;24150.75;24144;24147;507
20260401 073100;24147;24161.5;24146.75;24159.5;925
20260401 073200;24160;24161.25;24151.75;24152.75;695
20260401 073300;24152.5;24159;24145.25;24147.5;729
20260401 073400;24147;24159;24143;24156.5;770
20260401 073500;24157.25;24163.25;24154;24156;630
20260401 073600;24156.75;24167.25;24156.75;24164.5;627
20260401 073700;24165.25;24168;24158.5;24164.5;436
20260401 073800;24165;24174.25;24164.5;24171.25;820
20260401 073900;24171.75;24179.5;24169.25;24173.75;686
20260401 074000;24173.25;24174.25;24163.75;24165.75;530
20260401 074100;24165.5;24169.75;24160;24163.5;874
20260401 074200;24163.25;24164;24148.75;24151.25;1119
20260401 074300;24151;24165.75;24149;24162.25;763
20260401 074400;24162.5;24168.5;24159.25;24160.25;572
20260401 074500;24161;24168.5;24158.5;24168.5;360
20260401 074600;24167.5;24169.25;24159.75;24161.25;442
20260401 074700;24161;24169.5;24158;24165.5;478
20260401 074800;24165;24166.25;24159.25;24164.5;323
20260401 074900;24163.75;24166;24144;24145.75;729
20260401 075000;24146.5;24146.5;24125.5;24127.25;1653
20260401 075100;24128;24130.75;24105.5;24110;2085
20260401 075200;24110;24114.5;24089.25;24098.5;2263
20260401 075300;24099;24103.5;24088;24090.25;970
20260401 075400;24090.75;24096.75;24082.25;24096;1726
20260401 075500;24095;24102.75;24091.25;24097;1101
20260401 075600;24097.25;24100.75;24083.25;24093.25;1248
20260401 075700;24094;24104.25;24093.75;24098;797
20260401 075800;24097.5;24101.75;24090.25;24094.25;816
20260401 075900;24093.25;24094;24083.5;24087;636
20260401 080000;24086.75;24091;24074.75;24078.25;1701
20260401 080100;24078.5;24090.5;24071.75;24086;1561
20260401 080200;24086.5;24086.5;24066.5;24068;1225
20260401 080300;24068.75;24076.75;24060;24067;1565
20260401 080400;24066.25;24088;24066.25;24085.75;985
20260401 080500;24086.5;24095.5;24080;24084.25;977
20260401 080600;24082.75;24085.5;24072.5;24074.75;1031
20260401 080700;24075;24082.75;24055.25;24057;1285
20260401 080800;24057.25;24065.5;24056.25;24062.5;658
20260401 080900;24063.5;24064.5;24056;24063;653
20260401 081000;24063.5;24063.75;24050.75;24055.25;891
20260401 081100;24054.5;24056;24048;24051.5;870
20260401 081200;24052;24053;24033.25;24044;1542
20260401 081300;24042.25;24051;24038.25;24047.5;1013
